"ID","step","angle","TimeNum","locType","time","temp","nu.x","nu.y","se.mu.x","se.nu.x","se.mu.y","se.nu.y","speed","x","y"
"AM306",456.486924335805,-0.0786653553960629,NA,"p",2008-09-17 09:01:00,32.038998510537,773.740681574422,184.910254268376,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,795.529034326746,353895.862767565,-2694005.44431024
"AM306",906.655461444785,-0.00438763518209659,NA,"p",2008-09-17 10:01:00,32.9962971936134,525.260821283317,-519.092889966404,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,738.48247019743,354341.767541392,-2694103.16454748
"AM306",581.22230567914,-0.472892794902123,NA,"p",2008-09-17 11:01:00,33.0014754076679,1058.8949771988,-126.15800612945,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,1066.38380297499,355226.54506389,-2694301.13641784
"AM306",439.103568242913,2.46467792655127,NA,"p",2008-09-17 12:01:00,33.0277704682282,-230.318004804557,205.393833867622,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,308.598461318251,355673.690999165,-2694672.45822057
"AM306",617.442396067288,1.45154224212412,NA,"p",2008-09-17 13:01:00,32.9798964880134,204.089133452039,63.5351396721406,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,213.750060506103,355586.083946615,-2694242.18278787
"AM306",227.874225495948,-0.645586654214396,NA,"p",2008-09-17 14:01:00,31.9599066606097,-803.972736461391,-57.6492184188472,4.12310562561766,251.207085887321,4.12310562561766,251.207085887321,806.036967736295,354970.696413315,-2694292.51464976
"AM306",180.741719912635,0.761316068391146,NA,"p",2008-09-17 15:01:00,29.9440770930753,-268.433726708981,53.9060429199409,4.12310562561766,251.21504732002,4.12310562561766,251.21504732002,273.7928543592,354778.112020961,-2694170.70367132
"AM306",328.579883509419,-0.0906034155702575,NA,"p",2008-09-17 16:01:00,26.9682001507289,-150.307856375077,-28.5066326516864,4.12310562561766,253.24888943488,4.12310562561766,253.24888943488,152.987188330295,354600.878095538,-2694206.13959936
"AM306",16.5481211901909,-0.159207057131455,NA,"p",2008-09-17 17:01:00,26.0095354969285,-154.764171352365,3.00260779272024,4.12310562561766,249.987999711986,4.12310562561766,249.987999711986,154.793295681502,354274.168024467,-2694241.1434464
"AM306",473.28396361637,0.558625177808914,339352.016666667,"p",2008-09-17 18:01:00,25,71.1499474357986,133.579462276308,0,252.083319559228,0,252.083319559228,151.346581600459,354257.642680686,-2694240.27550178
