,event-id,visible,location-long,location-lat,external-temperature,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2008-03-04 15:30:00,9421506585.0,True,31.4422,-24.30092,37.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 16:00:00,9421506586.0,True,31.4450299999999,-24.3036999999999,36.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 16:30:00,9421506587.0,True,31.4435199999999,-24.3053199999999,35.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 17:00:00,9421506588.0,True,31.44433,-24.30575,33.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 17:30:00,9421506589.0,True,31.44518,-24.30669,32.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 18:00:00,9421506590.0,True,31.4461799999999,-24.30664,31.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 18:30:00,9421506591.0,True,31.4471799999999,-24.30583,31.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 19:00:00,9421506592.0,True,31.44733,-24.30611,30.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 19:30:00,9421506593.0,True,31.44725,-24.30638,30.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 20:00:00,9421506594.0,True,31.4473799999999,-24.30608,30.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 20:30:00,9421506595.0,True,31.44689,-24.30658,29.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 21:00:00,9421506596.0,True,31.44732,-24.30734,28.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 21:30:00,9421506597.0,True,31.44679,-24.30852,28.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 22:00:00,9421506598.0,True,31.44659,-24.30912,28.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 22:30:00,9421506599.0,True,31.4461799999999,-24.31021,27.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 23:00:00,9421506600.0,True,31.4454999999999,-24.31107,27.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-04 23:30:00,9421506601.0,True,31.44464,-24.31118,27.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 00:00:00,,True,,,,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 00:30:00,,True,,,,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 01:00:00,9421506602.0,True,31.4447699999999,-24.31115,27.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 01:30:00,9421506603.0,True,31.4448499999999,-24.3112099999999,27.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 02:00:00,,True,,,,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
2008-03-05 02:30:00,9421506605.0,True,31.4449499999999,-24.3111999999999,28.0,gps,Loxodonta africana,AM306,AM306,ThermochronTracking Elephants Kruger 2007
